Intersecting Street,GoogleMaps Coordinates,Latitude,Longitude
110,"40.804312000467114, -73.96675140730487",40.804312,-73.96675141
108,"40.80293470412802, -73.96752654137852",40.8029347,-73.96752654
107,"40.802224428029604, -73.96772236472343",40.80222443,-73.96772236
103,"40.8005634493857, -73.967943931229",40.80056345,-73.96794393
78,"40.78325559644174, -73.98067752076533",40.7832556,-73.98067752
77,"40.782603798082995, -73.98082903293441",40.7826038,-73.98082903
75,"40.782603798082995, -73.98082903293441",40.7826038,-73.98082903
73,"40.779597064989105, -73.98171143341173",40.77959706,-73.98171143
71,"40.778133420792855, -73.98219465272075",40.77813342,-73.98219465
68,"40.77561795894213, -73.9821334429977",40.77561796,-73.98213344
59,"40.76862204685925, -73.98209913713768",40.76862205,-73.98209914
58,"40.767448434233316, -73.98181738965265",40.76744843,-73.98181739
57,"40.7664081693507, -73.98192304495953",40.76640817,-73.98192304
56,"40.7655083010472, -73.98197744049733",40.7655083,-73.98197744
54,"40.764150378231975, -73.98253522651193",40.76415038,-73.98253523
53,"40.76348649464404, -73.98285396128502",40.76348649,-73.98285396
48,"40.760176700602784, -73.98487563023834",40.7601767,-73.98487563
47,"40.759315621643935, -73.98518923219676",40.75931562,-73.98518923
46,"40.758677228272624, -73.98540483345057",40.75867723,-73.98540483
45,"40.75792005614857, -73.98554203430739",40.75792006,-73.98554203
44,"40.7572816494212, -73.98587523638821",40.75728165,-73.98587524
43,"40.75664323656299, -73.98616923822422",40.75664324,-73.98616924
42,"40.75572272342909, -73.98638483955348",40.75572272,-73.98638484
39,"40.753599556011736, -73.98714924432711",40.75359956,-73.98714924
36,"40.751446624655294, -73.98767844758821",40.75144662,-73.98767845
34,"40.74996180379244, -73.98787444880192",40.7499618,-73.98787445
30,"40.74684357197242, -73.98848205253033",40.74684357,-73.98848205
27,"40.74454192624885, -73.98887405497834",40.74454193,-73.98887405
25,"40.743086651075494, -73.98914845669196",40.74308665,-73.98914846
24.5,"40.74261145228585, -73.98924645730396",40.74261145,-73.98924646
Madison,"40.742477802014555, -73.98901125583515",40.7424778,-73.98901126
Madison,"40.74192834807772, -73.98903085595755",40.74192835,-73.98903086
23,"40.741467991284736, -73.98918765693676",40.74146799,-73.98918766
22,"40.740636370936976, -73.98938365816078",40.74063637,-73.98938366
20,"40.73990869460363, -73.98963845975199",40.73990869,-73.98963846
17,"40.73708100001992, -73.99035105604244",40.737081,-73.99035106
14,"40.7348256933321, -73.99076446864179",40.73482569,-73.99076447
10,"40.73174479089432, -73.99142679098911",40.73174479,-73.99142679
6,"40.72965644814715, -73.9932951651633",40.72965645,-73.99329517
E houston,"40.72553856346918, -73.99673608776132",40.72553856,-73.99673609
,"40.72084221198525, -74.00067524335347",40.72084221,-74.00067524
Canal,"40.719426161593226, -74.00190525636397",40.71942616,-74.00190526
Worth,"40.71633040947866, -74.00449089318177",40.71633041,-74.00449089
Chambers,"40.71416488617135, -74.00630267397659",40.71416489,-74.00630267
Barclay,"40.71198039747286, -74.00812403279615",40.7119804,-74.00812403
Cedar,"40.708855833922726, -74.01080622977751",40.70885583,-74.01080623
Exchange Pl,"40.70677270549331, -74.01250603966787",40.70677271,-74.01250604
Charging Bull,"40.705807044540634, -74.01327639707594",40.70580704,-74.0132764
Bowling Green,"40.704834072197464, -74.01412374298367",40.70483407,-74.01412374
Battery Pl,"40.70457901884349, -74.01429819655291",40.70457902,-74.0142982