﻿Month,All Boroughs,Bronx,Brooklyn,Manhattan,Queens,Staten Island,All Categories,Commercial,Documentary,Film,Music Video,Red Carpet/Premiere,Still Photography,Student,Television,Theater,WEB,All Permit Types,DCAS Prep/Shoot/Wrap Permit,Rigging Permit,Shooting Permit,Theater Load in and Load Outs
16-Jan,721,18,192,336,173,2,721,71,2,94,,,17,1,455,56,25,721,9,3,655,54
16-Feb,764,16,225,375,145,3,764,33,,78,1,,35,7,506,80,24,764,9,9,667,79
16-Mar,1068,15,298,559,192,4,1068,91,1,132,1,,55,1,682,85,20,1068,9,17,955,87
16-Apr,1045,18,262,629,131,5,1045,136,3,138,,,128,8,478,105,49,1045,8,18,917,102
16-May,817,12,216,467,115,7,817,62,,151,10,,106,2,366,87,33,817,2,21,709,85
16-Jun,893,28,275,501,89,,893,90,1,145,2,,132,8,413,62,40,893,3,12,811,67
16-Jul,1074,26,296,582,153,17,1074,105,1,151,1,,88,2,632,62,32,1074,21,22,972,59
16-Aug,1156,33,356,540,208,19,1156,98,1,125,2,,61,,759,43,67,1156,14,10,1086,46
16-Sep,1163,40,357,526,216,24,1163,71,1,169,1,1,48,,753,84,35,1163,14,24,1045,80
16-Oct,1321,48,389,665,196,23,1321,107,1,184,2,,78,7,785,111,46,1321,17,16,1177,111
16-Nov,1195,38,329,607,202,19,1195,87,,109,12,,66,5,779,111,26,1195,27,13,1046,109
16-Dec,785,24,237,396,120,8,785,75,,39,2,,28,6,544,65,26,785,5,14,704,62
17-Jan,855,25,242,410,164,14,855,53,2,93,,,27,8,597,51,24,855,17,6,781,51
17-Feb,877,33,258,417,159,10,877,62,,118,,,17,4,592,76,8,877,16,8,776,77
17-Mar,1022,58,275,535,145,9,1022,56,,141,2,,62,4,627,107,23,1022,18,13,887,104
17-Apr,908,19,182,547,155,5,908,78,1,114,,,105,6,478,98,28,908,10,19,789,90
17-May,781,33,220,454,64,10,781,57,14,82,3,,97,3,387,79,59,781,2,17,679,83
17-Jun,955,25,316,512,89,13,955,110,1,184,7,,78,1,474,63,37,955,1,25,856,73
17-Jul,1196,40,380,579,172,25,1196,123,,371,7,,81,,541,42,31,1196,8,28,1119,41
17-Aug,1337,62,395,617,240,23,1337,112,,297,4,,40,1,796,56,31,1337,19,24,1239,55
17-Sep,997,30,272,525,156,14,997,95,,135,10,,51,,568,100,38,997,9,7,882,99
17-Oct,1367,49,375,715,218,10,1367,79,4,255,9,,67,4,723,150,76,1367,14,12,1190,151
17-Nov,1272,33,364,701,172,2,1272,75,,179,,,102,10,713,135,58,1272,16,18,1100,138
17-Dec,952,44,245,483,170,10,952,42,,106,5,,37,5,627,103,27,952,12,12,827,101
18-Jan,792,21,182,434,153,2,792,72,,56,2,,19,3,557,68,15,792,14,5,698,75
18-Feb,935,36,250,459,182,8,935,48,,144,13,,32,4,576,95,23,935,12,8,823,92
18-Mar,1268,53,350,648,209,8,1268,72,8,112,1,,69,9,868,93,36,1268,12,9,1154,93
18-Apr,914,59,227,523,89,16,914,52,7,94,1,,82,4,506,94,74,914,8,25,782,99
18-May,1180,43,323,711,97,6,1180,86,10,264,,,148,4,512,107,49,1180,7,35,1026,112
18-Jun,1060,34,284,613,95,34,1060,114,5,225,14,,80,3,435,101,83,1060,6,27,930,97
18-Jul,1095,44,328,531,181,11,1095,85,10,183,22,,67,,622,53,53,1095,8,14,1021,52
18-Aug,1319,67,423,594,231,4,1319,127,5,153,5,,43,2,844,62,78,1319,15,42,1201,61
18-Sep,1225,51,310,615,233,16,1225,102,6,164,11,,87,2,718,95,40,1225,12,21,1090,102
18-Oct,1735,53,504,882,273,23,1735,115,10,215,4,,190,7,946,167,81,1735,22,29,1519,165
18-Nov,1328,47,434,623,197,27,1328,60,6,149,1,,67,5,845,159,36,1328,13,6,1149,160
18-Dec,819,26,239,421,127,6,819,64,3,58,4,,30,8,515,105,32,819,10,12,689,108
19-Jan,736,20,229,368,117,2,736,32,2,60,1,,17,2,523,66,33,736,11,11,648,66
19-Feb,830,40,241,398,139,12,830,55,3,57,,,30,1,555,101,28,830,2,23,699,106
19-Mar,1229,57,288,688,172,24,1229,56,8,136,1,,27,7,841,114,39,1229,11,21,1085,112
19-Apr,1283,61,275,781,141,25,1283,119,,193,,,131,8,636,132,64,1283,21,14,1123,125
19-May,1003,36,217,596,121,33,1003,92,2,113,23,,93,3,455,148,74,1003,3,12,837,151
19-Jun,1028,42,224,616,87,59,1028,78,8,266,2,,117,,407,113,37,1028,9,33,880,106
19-Jul,1104,26,248,649,137,44,1104,73,,245,4,,79,,555,94,54,1104,15,33,963,93
19-Aug,1168,15,346,549,242,16,1168,81,8,115,11,,69,3,746,92,43,1168,6,24,1050,88
19-Sep,1118,18,333,540,215,12,1118,92,7,77,1,,66,3,671,152,49,1118,15,21,931,151
19-Oct,1389,24,355,719,283,8,1389,101,7,178,10,,78,7,788,185,35,1389,13,7,1185,184
19-Nov,1238,32,380,580,240,6,1238,64,4,175,,,24,6,776,165,24,1238,13,8,1055,162
19-Dec,975,38,277,470,183,7,975,54,7,96,6,,21,5,599,135,52,975,12,7,820,136
20-Jan,844,27,245,393,179,,844,44,18,30,,,14,13,614,82,29,844,16,18,734,76
20-Feb,798,25,229,405,136,3,798,30,8,45,2,,11,6,566,117,13,798,20,4,657,117
20-Mar,423,28,110,233,50,2,423,31,,38,,,7,3,289,40,15,423,7,10,367,39
20-Jul,1,,1,,,,1,,,,,,,,1,,,1,,,1,
20-Aug,4,,1,3,,,4,,,,,,,,,3,1,4,,,1,3