Category,SubCategory,Events
Television,Cable-daily,86
Television,Cable-episodic,"6,155"
Television,Cable-other,355
Television,Children,49
Commercial,Commercial,"3,289"
Television,Daytime soap,6
Television,Episodic series,"19,459"
Film,Feature,"6,786"
Television,Game show,38
Music Video,Independent Artist,21
Commercial,Industrial/Corporate,182
Television,Made for TV/mini-series,644
Television,Magazine Show,9
Television,Morning Show,272
Television,News,"1,592"
Commercial,Not Applicable,2
Documentary,Not Applicable,185
Music Video,Not Applicable,27
Still Photography,Not Applicable,"3,304"
Student,Not Applicable,86
Television,Not Applicable,467
WEB,Not Applicable,"2,053"
Television,Pilot,"1,178"
Commercial,Promo,416
Commercial,PSA,72
Television,Reality,214
Commercial,Short,5
Film,Short,445
Music Video,Signed Artist,172
Television,Special/Awards Show,316
Student,Student Film,125
Television,Syndication/First Run,11
Television,Talk Show,210
Theater,Theater,"4,949"
Commercial,Trailers,1
Red Carpet/Premiere,TV Premiere,1
Television,Variety,180