Filter,Name,Events
Borough,Bronx,1790
Borough,Brooklyn,14809
Borough,Manhattan,27720
Borough,Queens,8353
Borough,Staten Island,690
Category,Commercial,"3,967"
Category,Documentary,185
Category,Film,"7,231"
Category,Music Video,220
Category,Red Carpet/Premiere,1
Category,Still Photography,"3,304"
Category,Student,211
Category,Television,"31,241"
Category,Theater,"4,949"
Category,WEB,"2,053"
Type,DCAS Prep/Shoot/Wrap Permit,593
Type,Rigging Permit,847
Type,Shooting Permit,"46,987"
Type,Theater Load in and Load Outs,"4,935"